country,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,primary_fuel,other_fuel1,other_fuel2,other_fuel3,commissioning_year,owner,source,url,geolocation_source,wepp_id,year_of_capacity_data,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,generation_gwh_2018,generation_gwh_2019,generation_data_source,estimated_generation_gwh_2013,estimated_generation_gwh_2014,estimated_generation_gwh_2015,estimated_generation_gwh_2016,estimated_generation_gwh_2017,estimated_generation_note_2013,estimated_generation_note_2014,estimated_generation_note_2015,estimated_generation_note_2016,estimated_generation_note_2017
ISR,Israel,Haifa,WRI1008358,282.0,32.8118,35.0232,Gas,Oil,,,1961.0,Israel Electric corporation,Israel Electric Corporation,https://www.iec.co.il/international/main.html#!/contents/67,GEODB,,,,,,,,,,,,,,,1792.63,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Haifa (CCGT),WRI1008368,720.0,32.6172,35.0431,Gas,,,,2010.0,Israel Electric corporation,Israel Electric Corporation,https://www.iec.co.il/international/main.html#!/contents/67,GEODB,,,,,,,,,,,,,,,4576.94,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,CAPACITY-FACTOR-V1
ISR,Israel,Haluziot,WRI1061486,55.0,31.1685,34.5469,Solar,,,,2015.0,Israel Electric corporation,PV Tech,https://www.pv-tech.org/news/grupo_clavijo_installing_single_axis_tracker_to_55mw_israel_project,WRI,1089411,,,,,,,,,,,,,123.65,120.86,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1
ISR,Israel,Hazerim ,WKS0061895,6.0,31.2475,34.7099,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.41,11.37,11.64,11.17,11.54,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Hazeva,WRI1061487,4.5,30.8069,35.2466,Solar,,,,,Eren Group,Eren Group,http://eren-groupe.com/en/realisation-eren/hazeva/,WRI,,,,,,,,,,,8.18,8.10,8.37,8.11,8.22,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Kerem Shalom,WKS0061881,6.3,31.2264,34.2882,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.63,12.06,11.83,12.04,11.85,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Ketura Sun,WKS0061084,4.9,29.9630,35.0590,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,9.25,9.53,9.64,9.52,9.53,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Kibbutz Ketura,WRI1061488,40.0,29.9647,35.0595,Solar,,,,2015.0,Israel Electric corporation,PV Magazine,https://www.energymatters.com.au/renewable-news/ketura-solar-farm-em4960/,WRI,1072662,,,,,,,,,,,,,88.56,88.32,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1
ISR,Israel,Lahav,WRI1026462,3.2,31.3764,34.8691,Solar,,,,2014.0,Belectric GmbH,Belectric,http://www.belectric.com/en/solar-power-plants/projects/,,,,,,,,,,,,,,6.95,6.95,6.72,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1,SOLAR-V1
ISR,Israel,Maslul ,WKS0061890,8.9,31.3180,34.5700,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,18.96,19.58,17.70,19.63,18.41,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Meitar A,WKS0072212,6.0,31.3290,34.9186,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,11.57,11.72,11.99,11.65,11.56,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Meitarim,WRI1026463,5.0,31.3663,35.0046,Solar,,,,2015.0,Energix Renewable Energies Limited,Energix,http://www.energix-group.com/Meitarim/,WRI,,,,,,,,,,,,,,10.77,10.70,NO-ESTIMATION,NO-ESTIMATION,NO-ESTIMATION,SOLAR-V1,SOLAR-V1
ISR,Israel,Metzukei Timna ,WKS0061894,6.0,29.7598,34.9816,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,12.35,11.59,11.76,11.18,11.50,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
ISR,Israel,Mishmar HaNegev,WKS0061884,7.8,31.3710,34.7160,Solar,,,,,,Wiki-Solar,https://www.wiki-solar.org,Wiki-Solar,,,,,,,,,,,15.64,15.84,14.74,16.02,15.48,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE,SOLAR-V1-NO-AGE
